,id_x,release_date,title,production_budget,domestic_gross,worldwide_gross,domestic_roi,worldwide_roi,id_y,original_language,original_title,popularity,vote_average,vote_count,title_change
378,2,2015-04-17,Child 44,50000000.0,1224330.0,8004221.0,-97.55134,-83.991558,181283,en,Child 44,26.386,6.2,903,False
379,11,2015-03-06,Chappie,49000000.0,31569268.0,105002056.0,-35.5729224489796,114.28991020408164,198184,en,Chappie,24.52,6.7,4995,False
380,13,2012-11-16,Anna Karenina,49000000.0,12816367.0,71004627.0,-73.84414897959184,44.90740204081632,96724,en,Anna Karenina,9.987,6.7,1265,False
381,18,2015-01-09,Taken 3,48000000.0,89256424.0,327656424.0,85.95088333333334,582.6175499999999,260346,en,Taken 3,27.679000000000002,6.1,3406,False
382,20,2018-11-16,Instant Family,48000000.0,67363237.0,119736188.0,40.340077083333334,149.45039166666666,491418,en,Instant Family,22.634,7.6,782,False
383,23,2010-01-22,Tooth Fairy,48000000.0,60022256.0,112610386.0,25.046366666666664,134.60497083333334,23023,en,Tooth Fairy,12.65,5.3,1058,False
384,32,2016-07-13,The Infiltrator,47500000.0,15436808.0,20718104.0,-67.50145684210527,-56.38293894736842,325789,en,The Infiltrator,9.588,6.6,943,False
385,34,2016-11-11,Arrival,47000000.0,100546139.0,203127894.0,113.92795531914895,332.1870085106383,329865,en,Arrival,25.441999999999997,7.4,10387,False
386,40,2010-06-18,Jonah Hex,47000000.0,10547117.0,11022696.0,-77.5593255319149,-76.54745531914894,20533,en,Jonah Hex,13.467,4.6,708,False
387,42,2016-12-23,Silence,46500000.0,7100177.0,23726626.0,-84.73080215053763,-48.97499784946236,68730,en,Silence,10.617,7.1,1560,False
388,58,2017-12-22,Pitch Perfect 3,45000000.0,104897530.0,185736412.0,133.10562222222222,312.7475822222222,353616,en,Pitch Perfect 3,14.89,6.5,1884,False
389,64,2011-11-23,The Muppets,45000000.0,88625922.0,160971922.0,96.94649333333332,257.7153822222222,64328,en,The Muppets,11.324000000000002,6.6,831,False
390,68,2016-10-07,The Girl on the Train,45000000.0,75395035.0,174278214.0,67.54452222222223,287.28492,346685,en,The Girl on the Train,11.927,6.3,3479,False
391,71,1998-08-21,Blade,45000000.0,70141876.0,131237688.0,55.87083555555555,191.63930666666667,36647,en,Blade,17.175,6.6,3137,False
392,73,2010-03-19,The Bounty Hunter,45000000.0,67061228.0,135808837.0,49.02495111111111,201.79741555555557,27573,en,The Bounty Hunter,9.861,5.7,1627,False
393,81,2016-12-09,Office Christmas Party,45000000.0,54767494.0,91323299.0,21.70554222222222,102.94066444444445,384682,en,Office Christmas Party,10.729000000000001,5.6,1191,False
394,88,2012-07-06,Savages,45000000.0,47323100.0,82513490.0,5.162444444444445,83.36331111111112,82525,en,Savages,7.504,6.3,1246,False
395,90,2014-05-23,Blended,45000000.0,46290741.0,127990741.0,2.868313333333333,184.42386888888888,232672,en,Blended,10.613,6.7,1709,False
396,91,2017-06-16,All Eyez on Me,45000000.0,44922302.0,54876855.0,-0.17266222222222224,21.948566666666665,402529,en,All Eyez on Me,7.249,6.4,695,False
397,15,2012-09-21,Dredd,45000000.0,13414714.0,41467606.0,-70.18952444444444,-7.849764444444444,49049,en,Dredd,13.222999999999999,6.7,2788,False
398,18,2018-12-21,Welcome to Marwen,45000000.0,10763520.0,12874922.0,-76.08106666666666,-71.38906222222222,351044,en,Welcome to Marwen,22.031999999999996,6.6,286,False
399,19,2011-10-21,Johnny English Reborn,45000000.0,8406711.0,164640401.0,-81.31842,265.8675577777778,58233,en,Johnny English Reborn,15.542,6.1,1810,False
400,27,2012-10-12,Argo,44500000.0,136025503.0,227140757.0,205.67528764044943,410.42866741573033,68734,en,Argo,15.793,7.2,5127,False
401,35,2013-06-28,The Heat,43000000.0,159581587.0,229727774.0,271.1199697674419,434.25063720930234,136795,en,The Heat,16.912,6.6,2441,False
402,42,2011-01-28,The Mechanic,42500000.0,29121498.0,76347393.0,-31.478828235294117,79.64092470588236,27582,en,The Mechanic,14.387,6.3,1676,False
403,51,2017-05-12,Snatched,42000000.0,45852178.0,57852177.0,9.17185238095238,37.743278571428576,373569,en,Snatched,10.92,5.3,495,False
404,52,2012-10-12,Here Comes the Boom,42000000.0,45290318.0,73239258.0,7.834090476190476,74.37918571428571,87826,en,Here Comes the Boom,10.265,6.0,812,False
405,55,2011-03-11,Red Riding Hood,42000000.0,37662162.0,91678442.0,-10.328185714285715,118.28200476190476,49730,en,Red Riding Hood,11.856,5.9,1884,False
406,58,2018-12-25,Holmes & Watson,42000000.0,30568743.0,41926605.0,-27.217278571428572,-0.17475,426563,en,Holmes & Watson,19.331,4.1,217,False
407,59,2012-01-27,One for the Money,42000000.0,26414527.0,36197221.0,-37.108269047619046,-13.816140476190474,54054,en,One for the Money,8.62,5.5,615,False
408,64,2012-01-27,Man on a Ledge,42000000.0,18620000.0,49621440.0,-55.666666666666664,18.146285714285714,49527,en,Man on a Ledge,11.263,6.3,1460,False
409,65,2010-12-03,The Warrior's Way,42000000.0,5666340.0,8514325.0,-86.50871428571428,-79.72779761904762,46528,en,The Warrior's Way,8.259,6.1,203,False
410,74,2011-10-14,The Big Year,41000000.0,7204138.0,7684524.0,-82.42893170731708,-81.25725853658537,73937,en,The Big Year,7.077000000000001,5.8,393,False
411,78,2015-02-13,Fifty Shades of Grey,40000000.0,166167230.0,570998101.0,315.418075,1327.4952524999999,216015,en,Fifty Shades of Grey,21.229,5.4,6451,False
412,83,2014-07-25,Lucy,40000000.0,126573960.0,457507776.0,216.4349,1043.76944,240832,en,Lucy,16.73,6.3,10019,False
413,91,2010-10-01,The Social Network,40000000.0,96962694.0,224922135.0,142.406735,462.30533749999995,37799,en,The Social Network,15.889000000000001,7.2,6116,False
414,95,2016-01-15,Ride Along 2,40000000.0,90862685.0,124827316.0,127.1567125,212.06829,323675,en,Ride Along 2,12.977,6.2,939,False
415,97,2015-03-27,Get Hard,40000000.0,90411453.0,106511453.0,126.0286325,166.2786325,257091,en,Get Hard,12.129000000000001,6.0,1469,False
416,100,2016-10-14,The Accountant,40000000.0,86260045.0,152962083.0,115.65011249999999,282.4052075,302946,en,The Accountant,13.81,6.9,3407,False
417,1,2014-11-14,Dumb and Dumber To,40000000.0,86208010.0,156553592.0,115.520025,291.38398,100042,en,Dumb and Dumber To,15.964,5.5,1842,False
418,2,2014-04-25,The Other Woman,40000000.0,83911193.0,195111193.0,109.7779825,387.7779825,193610,en,The Other Woman,11.894,6.3,2276,False
419,6,2015-09-25,The Intern,40000000.0,75764672.0,197115710.0,89.41168,392.789275,257211,en,The Intern,14.377,7.1,3373,False
420,10,2015-10-16,Bridge of Spies,40000000.0,72313754.0,162498338.0,80.784385,306.245845,296098,en,Bridge of Spies,12.835999999999999,7.2,4313,False
421,12,2009-03-20,"I Love You, Man",40000000.0,72013010.0,92302502.0,80.03252499999999,130.756255,16538,en,"I Love You, Man",9.37,6.5,897,False
422,17,2016-11-04,Hacksaw Ridge,40000000.0,67209615.0,168904682.0,68.0240375,322.261705,324786,en,Hacksaw Ridge,24.074,8.1,6608,False
423,21,2011-02-18,Unknown,40000000.0,63686397.0,136123083.0,59.215992500000006,240.30770750000002,48138,en,Unknown,12.08,6.6,2043,False
424,22,2010-06-04,Get Him to the Greek,40000000.0,61153526.0,91455875.0,52.883815,128.6396875,32823,en,Get Him to the Greek,8.485,5.9,980,False
425,24,2001-11-30,Behind Enemy Lines,40000000.0,58855732.0,58855732.0,47.13933,47.13933,8007,en,Behind Enemy Lines,10.886,6.1,705,False
426,25,2011-03-18,The Lincoln Lawyer,40000000.0,58009200.0,87145086.0,45.023,117.86271500000001,50348,en,The Lincoln Lawyer,11.812000000000001,7.1,1525,False
427,31,2014-11-26,Horrible Bosses 2,40000000.0,54445357.0,105945357.0,36.1133925,164.8633925,227159,en,Horrible Bosses 2,18.421,6.2,2581,False
428,36,2012-08-15,The Odd Life of Timothy Green,40000000.0,51853450.0,55249159.0,29.633625000000002,38.1228975,71864,en,The Odd Life of Timothy Green,9.216000000000001,6.7,605,False
429,43,2014-06-20,Jersey Boys,40000000.0,47047013.0,65282732.0,17.6175325,63.206830000000004,209451,en,Jersey Boys,6.933,6.9,380,False
430,49,2011-08-12,Final Destination 5,40000000.0,42587643.0,155011165.0,6.4691075,287.5279125,55779,en,Final Destination 5,13.392000000000001,6.0,1701,False
431,50,2018-11-16,Widows,40000000.0,42402632.0,73866088.0,6.0065800000000005,84.66521999999999,401469,en,Widows,20.628,6.5,941,False
432,54,2014-07-18,Sex Tape,40000000.0,38543473.0,126069509.0,-3.6413175,215.17377249999998,225886,en,Sex Tape,20.429000000000002,5.3,2684,False
433,59,2012-12-19,The Guilt Trip,40000000.0,37134215.0,41294674.0,-7.1644625,3.2366850000000005,82687,en,The Guilt Trip,8.939,5.4,403,False
434,60,2011-08-26,Colombiana,40000000.0,36665854.0,72295262.0,-8.335365,80.738155,62835,en,Colombiana,10.584000000000001,6.5,1371,False
435,62,2018-01-12,The Commuter,40000000.0,36343858.0,101985431.0,-9.140355,154.9635775,399035,en,The Commuter,20.063,6.2,2394,False
436,67,2011-04-08,Arthur,40000000.0,33035397.0,47787943.0,-17.4115075,19.4698575,49012,en,Arthur,7.886,5.5,399,False
437,69,2016-12-21,Patriots Day,40000000.0,31886361.0,52837989.0,-20.2840975,32.094972500000004,388399,en,Patriots Day,15.435,6.9,1337,False
438,73,2010-11-10,Morning Glory,40000000.0,31011732.0,59795070.0,-22.470670000000002,49.487674999999996,38357,en,Morning Glory,10.595,6.3,717,False
439,77,2013-12-25,Grudge Match,40000000.0,29807260.0,69807260.0,-25.48185,74.51815,64807,en,Grudge Match,7.917999999999999,6.0,711,False
440,81,2017-08-11,The Nut Job 2: Nutty by Nature,40000000.0,28370522.0,57438389.0,-29.073695,43.5959725,335777,en,The Nut Job 2: Nutty by Nature,8.975,5.7,227,False
441,84,2017-01-27,Resident Evil: The Final Chapter,40000000.0,26844692.0,314101190.0,-32.88827,685.252975,173897,en,Resident Evil: The Final Chapter,0.8440000000000001,5.9,1859,False
442,86,2017-06-30,The House,40000000.0,25584504.0,31192425.0,-36.038740000000004,-22.0189375,345914,en,The House,9.62,5.7,474,False
443,89,2011-01-07,Season of the Witch,40000000.0,24827228.0,91126600.0,-37.93193,127.8165,23047,en,Season of the Witch,12.535,5.3,1352,False
444,94,2016-08-26,Mechanic: Resurrection,40000000.0,21218403.0,109738840.0,-46.953992500000005,174.3471,278924,en,Mechanic: Resurrection,16.302,5.6,1929,False
445,99,2012-02-03,Big Miracle,40000000.0,20157300.0,25268680.0,-49.60675,-36.828300000000006,78698,en,Big Miracle,6.76,6.6,250,False
446,15,2015-03-20,The Gunman,40000000.0,10664749.0,18594227.0,-73.3381275,-53.5144325,266396,en,The Gunman,10.388,5.7,583,False
447,19,2013-08-16,Paranoia,40000000.0,7388654.0,16340767.0,-81.52836500000001,-59.1480825,115348,en,Paranoia,7.6739999999999995,5.7,518,False
448,22,2018-03-09,The Hurricane Heist,40000000.0,6115824.0,30963684.0,-84.71043999999999,-22.59079,430040,en,The Hurricane Heist,13.335,5.4,476,False
449,27,2014-06-27,Snowpiercer,40000000.0,4563029.0,88069880.0,-88.5924275,120.17469999999999,110415,ko,Snowpiercer,14.735,6.8,4748,False
450,48,2012-10-05,Frankenweenie,39000000.0,35287788.0,81150788.0,-9.51849230769231,108.07894358974359,62214,en,Frankenweenie,14.627,6.8,1685,False
451,59,2017-06-02,Captain Underpants: The First Epic Movie,38000000.0,73921000.0,126577874.0,94.52894736842106,233.09966842105263,268531,en,Captain Underpants: The First Epic Movie,18.31,6.0,587,False
452,60,2015-04-17,Paul Blart: Mall Cop 2,38000000.0,71091594.0,107650646.0,87.08314210526315,183.29117368421052,256961,en,Paul Blart: Mall Cop 2,15.940999999999999,5.0,900,False
453,62,2016-12-23,Why Him?,38000000.0,60323786.0,117425156.0,58.746805263157896,209.01356842105264,356305,en,Why Him?,15.044,6.2,2494,False
454,63,2011-04-22,Water for Elephants,38000000.0,58709717.0,116809717.0,54.4992552631579,207.39399210526318,55787,en,Water for Elephants,6.209,6.9,1627,False
455,66,2013-09-06,Riddick,38000000.0,42025135.0,94763758.0,10.592460526315788,149.37831052631577,87421,en,Riddick,17.434,6.2,2852,False
456,75,2017-10-20,Only the Brave,38000000.0,18340051.0,24555177.0,-51.736707894736846,-35.38111315789474,395991,en,Only the Brave,14.163,7.0,603,False
457,77,2011-10-14,The Thing,38000000.0,16999934.0,27573078.0,-55.26333157894737,-27.43926842105263,60935,en,The Thing,12.349,6.1,1404,False
458,82,2018-09-21,The Sisters Brothers,38000000.0,3143056.0,13143056.0,-91.72879999999999,-65.41301052631579,440161,en,The Sisters Brothers,13.738,7.0,590,False
459,85,2019-01-11,The Upside,37500000.0,108235497.0,119024536.0,188.627992,217.39876266666664,440472,en,The Upside,28.138,7.3,274,False
460,86,2012-05-18,What to Expect When You're Expecting,37500000.0,41152203.0,88473016.0,9.739208000000001,135.92804266666667,76494,en,What to Expect When You're Expecting,12.27,5.9,1130,False
461,87,2012-09-14,The Master,37500000.0,16247159.0,50647416.0,-56.674242666666665,35.059776,68722,en,The Master,12.829,7.1,1323,False
462,90,2013-08-07,We're the Millers,37000000.0,150394119.0,267816276.0,306.4705918918919,623.827772972973,138832,en,We're the Millers,14.745999999999999,6.8,5231,False
463,91,2015-11-25,Creed,37000000.0,109767581.0,173567581.0,196.66913783783784,369.10157027027026,312221,en,Creed,16.355999999999998,7.3,4010,False
464,92,2010-09-17,The Town,37000000.0,92186262.0,152566881.0,149.15205945945945,312.3429216216216,23168,en,The Town,13.475999999999999,7.1,2386,False
465,93,2011-09-23,Dolphin Tale,37000000.0,72286779.0,96068724.0,95.36967297297298,159.6452,62837,en,Dolphin Tale,10.679,6.8,327,False
466,94,2018-02-23,Game Night,37000000.0,69179066.0,117378084.0,86.97044864864864,217.23806486486487,445571,en,Game Night,19.459,6.9,2756,False
467,99,2010-02-26,Cop Out,37000000.0,44875481.0,55909910.0,21.285083783783783,51.10786486486486,23742,en,Cop Out,8.82,5.4,796,False
468,100,2011-01-28,The Rite,37000000.0,33047633.0,97143987.0,-10.682072972972973,162.5513162162162,48171,en,The Rite,9.676,5.9,994,False
469,3,2015-05-29,Aloha,37000000.0,21052030.0,25387091.0,-43.10262162162162,-31.386240540540538,222936,en,Aloha,9.685,5.3,1226,False
470,10,2010-03-26,Hot Tub Time Machine,36000000.0,50269859.0,65967750.0,39.63849722222223,83.24375,23048,en,Hot Tub Time Machine,10.15,6.0,1383,False
471,12,2014-09-12,Dolphin Tale 2,36000000.0,42024533.0,57824533.0,16.734813888888887,60.62370277777778,227735,en,Dolphin Tale 2,7.403,6.7,173,False
472,13,2016-12-16,Collateral Beauty,36000000.0,31016021.0,85309093.0,-13.844386111111112,136.96970277777777,345920,en,Collateral Beauty,12.857000000000001,7.2,3270,False
473,21,2011-05-06,There Be Dragons,36000000.0,1069334.0,4020990.0,-97.02962777777778,-88.83058333333334,45054,en,There Be Dragons,7.058,5.1,93,False
474,24,2017-09-08,It,35000000.0,327481748.0,697457969.0,835.6621371428572,1892.7370542857143,346364,en,It,13.966,7.2,10931,False
475,29,2010-12-22,True Grit,35000000.0,171243005.0,252276928.0,389.26572857142855,620.7912228571429,44264,en,True Grit,13.118,7.2,2816,False
476,34,2011-07-08,Horrible Bosses,35000000.0,117538559.0,212417601.0,235.82445428571427,506.90743142857144,51540,en,Horrible Bosses,14.058,6.5,3842,False
477,36,2015-07-17,Trainwreck,35000000.0,110212700.0,141123897.0,214.89342857142856,303.21113428571425,271718,en,Trainwreck,18.423,5.8,1731,False
478,49,2010-04-30,A Nightmare on Elm Street,35000000.0,63075011.0,117729621.0,80.21431714285714,236.3703457142857,23437,en,A Nightmare on Elm Street,9.795,5.5,1408,False
479,53,2010-10-08,Secretariat,35000000.0,59699513.0,60376247.0,70.57003714285715,72.50356285714285,39486,en,Secretariat,9.059,7.0,200,False
480,56,2016-05-20,Neighbors 2: Sorority Rising,35000000.0,55340730.0,108757621.0,58.11637142857143,210.73605999999998,325133,en,Neighbors 2: Sorority Rising,17.662,5.7,2829,False
481,59,2018-06-29,Sicario: Day of the Soldado,35000000.0,50065850.0,75885196.0,43.04528571428571,116.81484571428571,400535,en,Sicario: Day of the Soldado,29.725,6.7,1317,False
482,62,2015-05-22,Poltergeist,35000000.0,47425125.0,95713069.0,35.50035714285714,173.46591142857142,243688,en,Poltergeist,17.343,5.1,1438,False
483,63,2018-10-12,Goosebumps 2: Haunted Halloween,35000000.0,46697321.0,93291478.0,33.42091714285714,166.54708,442062,en,Goosebumps 2: Haunted Halloween,20.238,5.6,428,False
484,64,2018-01-19,12 Strong,35000000.0,45819713.0,71118378.0,30.913465714285714,103.19536571428571,429351,en,12 Strong,13.183,5.6,1312,False
485,74,2011-10-28,In Time,35000000.0,37553932.0,165103952.0,7.296948571428572,371.72557714285716,49530,en,In Time,18.912,6.8,6245,False
486,76,2011-11-09,J. Edgar,35000000.0,37306030.0,84606030.0,6.588657142857143,141.7315142857143,88794,en,J. Edgar,8.628,6.2,1303,False
487,78,2018-08-17,Mile 22,35000000.0,36108758.0,66295121.0,3.16788,89.41463142857144,347375,en,Mile 22,21.246,6.0,920,False
488,79,2015-05-08,Hot Pursuit,35000000.0,34580201.0,45671512.0,-1.1994257142857143,30.490034285714284,268920,en,Hot Pursuit,9.607000000000001,5.6,1000,False
489,80,2015-12-25,Concussion,35000000.0,34531832.0,50363790.0,-1.3376228571428572,43.896542857142855,321741,en,Concussion,12.809000000000001,7.1,1435,False
490,81,2017-10-13,The Foreigner,35000000.0,34393507.0,140783360.0,-1.7328371428571427,302.23817142857143,379149,en,The Foreigner,14.616,6.7,1086,False
491,89,2018-06-01,Adrift,35000000.0,31445011.0,57897191.0,-10.15711142857143,65.42054571428572,429300,en,Adrift,16.785999999999998,6.7,1264,False
492,91,2017-01-06,Underworld: Blood Wars,35000000.0,30353973.0,81209222.0,-13.274362857142858,132.02634857142857,346672,en,Underworld: Blood Wars,18.976,5.5,2318,False
493,93,2010-08-20,Nanny McPhee and the Big Bang,35000000.0,29197642.0,97799865.0,-16.578165714285714,179.42818571428572,35019,en,Nanny McPhee and the Big Bang,15.213,6.1,953,False
494,96,2011-09-23,Abduction,35000000.0,28087155.0,86648359.0,-19.750985714285715,147.56674,59965,en,Abduction,17.69,5.8,1791,False
495,6,2016-03-04,Whiskey Tango Foxtrot,35000000.0,23083334.0,25350747.0,-34.04761714285714,-27.569294285714285,279641,en,Whiskey Tango Foxtrot,8.564,6.2,596,False
