,title,year,runtime_minutes,genres,averagerating,numvotes,studio,domestic_gross_x,foreign_gross,release_date,production_budget,worldwide_gross,domestic_roi,worldwide_roi,original_language,original_title,popularity,vote_average,vote_count,title_change
711,The Big Short,2015.0,130.0,"Biography,Comedy,Drama",7.8,309227.0,Par.,70300000.0,1.0,2015-12-11,28000000.0,133162752.0,1.5092810714285714,3.7558125714285713,en,The Big Short,14.327,7.3,4657,False
712,The Big Sick,2017.0,120.0,"Comedy,Drama,Romance",7.6,104008.0,LGF,42900000.0,1.0,2017-06-23,5000000.0,53972860.0,7.5744934,9.794572,en,The Big Sick,12.322000000000001,7.4,1302,False
713,The Big Year,2011.0,100.0,Comedy,6.2,39522.0,Fox,7200000.0,1.0,2011-10-14,41000000.0,7684524.0,-0.8242893170731708,-0.8125725853658536,en,The Big Year,7.077000000000001,5.8,393,False
714,The Birth of a Nation,2016.0,120.0,"Biography,Drama,History",6.4,18442.0,,,0.0,2016-10-07,10000000.0,16891011.0,0.5861566,0.6891011,en,The Birth of a Nation,8.152000000000001,6.5,328,False
715,The Book Thief,2013.0,131.0,"Drama,War",7.6,119023.0,Fox,21500000.0,1.0,2013-11-08,19000000.0,76086711.0,0.13097268421052632,3.004563736842105,en,The Book Thief,9.033999999999999,7.5,2788,False
716,The Boss,2016.0,99.0,Comedy,5.4,39096.0,Uni.,63300000.0,1.0,2016-04-08,29000000.0,78652207.0,1.1750882758620689,1.7121450689655173,en,The Boss,11.442,5.8,822,False
717,The Boss Baby,2017.0,97.0,"Adventure,Animation,Comedy",6.3,93730.0,Fox,175000000.0,1.0,2017-03-31,125000000.0,510878762.0,0.400024264,3.087030096,en,The Boss Baby,7.445,6.4,4314,False
718,The Bounty Hunter,2010.0,87.0,,6.3,29.0,Sony,67099999.0,1.0,2010-03-19,45000000.0,135808837.0,0.4902495111111111,2.0179741555555557,en,The Bounty Hunter,9.861,5.7,1627,False
719,The Bourne Legacy,2012.0,135.0,"Action,Adventure,Thriller",6.7,268678.0,Uni.,113200000.0,1.0,2012-08-10,125000000.0,280355920.0,-0.09436904,1.24284736,en,The Bourne Legacy,18.05,6.1,3630,False
720,The Boxtrolls,2014.0,96.0,"Adventure,Animation,Comedy",6.8,50763.0,Focus,50800000.0,1.0,2014-09-26,60000000.0,111946251.0,-0.15271158333333335,0.86577085,en,The Boxtrolls,11.219000000000001,6.7,1016,False
721,The Boy,2016.0,97.0,"Horror,Mystery,Thriller",6.0,68957.0,,,0.0,2016-01-22,10000000.0,68220952.0,2.5819556,5.8220952,en,The Boy,11.703,5.8,2223,False
722,The Boy Next Door,2015.0,91.0,"Horror,Thriller",4.7,34816.0,Uni.,35400000.0,1.0,2015-01-23,4000000.0,53401938.0,8.00151625,12.3504845,en,The Boy Next Door,7.062,4.4,1382,False
723,The Bye Bye Man,2017.0,96.0,"Drama,Fantasy,Horror",4.3,17743.0,STX,22400000.0,1.0,2017-01-13,7400000.0,31187727.0,2.0264602702702703,3.214557702702703,en,The Bye Bye Man,9.847000000000001,5.1,678,False
724,The Change-Up,2011.0,112.0,"Comedy,Fantasy",6.3,155374.0,Uni.,37100000.0,1.0,2011-08-05,52000000.0,75997067.0,-0.2837804230769231,0.4614820576923077,en,The Change-Up,12.122,6.0,1406,False
725,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010.0,113.0,"Adventure,Family,Fantasy",6.3,129663.0,Fox,104400000.0,1.0,2010-12-10,155000000.0,418186950.0,-0.3265358064516129,1.6979803225806451,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,6.3,3196,False
